career,skill,importance,minimum_level
ML Engineer,Oracle,1,0
ML Engineer,Pandas,1,0
ML Engineer,Power BI,1,0
ML Engineer,Python,5,2
ML Engineer,React,1,0
ML Engineer,SQL,4,2
ML Engineer,Selenium,1,0
ML Engineer,Statistics,4,2
ML Engineer,TensorFlow,4,2
ML Engineer,Testing,1,0
ML Engineer,UI/UX,1,0
Cybersecurity Analyst,AWS,1,0
Cybersecurity Analyst,Business Analysis,1,0
Cybersecurity Analyst,C++,1,0
Cybersecurity Analyst,CSS,1,0
Cybersecurity Analyst,Communication,1,0
Cybersecurity Analyst,Cybersecurity,4,2
Cybersecurity Analyst,DSA,1,0
Cybersecurity Analyst,Database Management,1,0
Cybersecurity Analyst,Docker,1,0
Cybersecurity Analyst,Excel,1,0
Cybersecurity Analyst,Figma,1,0
Cybersecurity Analyst,Git,4,2
Cybersecurity Analyst,HTML,1,0
Cybersecurity Analyst,Java,1,0
Cybersecurity Analyst,JavaScript,1,0
Cybersecurity Analyst,Kubernetes,1,0
Cybersecurity Analyst,Linux,5,2
Cybersecurity Analyst,Machine Learning,1,0
Cybersecurity Analyst,MySQL,1,0
Cybersecurity Analyst,Networking,4,2
Cybersecurity Analyst,Node.js,1,0
Cybersecurity Analyst,NumPy,1,0
Cybersecurity Analyst,Oracle,1,0
Cybersecurity Analyst,Pandas,1,0
Cybersecurity Analyst,Power BI,1,0
Cybersecurity Analyst,Python,5,2
Cybersecurity Analyst,React,1,0
Cybersecurity Analyst,SQL,4,2
Cybersecurity Analyst,Selenium,1,0
Cybersecurity Analyst,Statistics,1,0
Cybersecurity Analyst,TensorFlow,1,0
Cybersecurity Analyst,Testing,1,0
Cybersecurity Analyst,UI/UX,1,0
Cloud Engineer,AWS,5,2
Cloud Engineer,Business Analysis,1,0
Cloud Engineer,C++,1,0
Cloud Engineer,CSS,1,0
Cloud Engineer,Communication,1,0
Cloud Engineer,Cybersecurity,1,0
Cloud Engineer,DSA,1,0
Cloud Engineer,Database Management,1,0
Cloud Engineer,Docker,4,2
Cloud Engineer,Excel,1,0
Cloud Engineer,Figma,1,0
Cloud Engineer,Git,4,2
Cloud Engineer,HTML,1,0
Cloud Engineer,Java,1,0
Cloud Engineer,JavaScript,1,0
Cloud Engineer,Kubernetes,1,0
Cloud Engineer,Linux,5,2
Cloud Engineer,Machine Learning,1,0
Cloud Engineer,MySQL,1,0
Cloud Engineer,Networking,4,2
Cloud Engineer,Node.js,1,0
Cloud Engineer,NumPy,1,0
Cloud Engineer,Oracle,1,0
Cloud Engineer,Pandas,1,0
Cloud Engineer,Power BI,1,0
Cloud Engineer,Python,4,2
Cloud Engineer,React,1,0
Cloud Engineer,SQL,1,0
Cloud Engineer,Selenium,1,0
Cloud Engineer,Statistics,1,0
Cloud Engineer,TensorFlow,1,0
Cloud Engineer,Testing,1,0
Cloud Engineer,UI/UX,1,0
DevOps Engineer,AWS,4,2
DevOps Engineer,Business Analysis,1,0
DevOps Engineer,C++,1,0
DevOps Engineer,CSS,1,0
DevOps Engineer,Communication,1,0
DevOps Engineer,Cybersecurity,1,0
DevOps Engineer,DSA,1,0
DevOps Engineer,Database Management,1,0
DevOps Engineer,Docker,5,2
DevOps Engineer,Excel,1,0
DevOps Engineer,Figma,1,0
DevOps Engineer,Git,4,2
DevOps Engineer,HTML,1,0
DevOps Engineer,Java,1,0
DevOps Engineer,JavaScript,1,0
DevOps Engineer,Kubernetes,4,2
DevOps Engineer,Linux,5,2
DevOps Engineer,Machine Learning,1,0
DevOps Engineer,MySQL,1,0
DevOps Engineer,Networking,1,0
DevOps Engineer,Node.js,1,0
DevOps Engineer,NumPy,1,0
DevOps Engineer,Oracle,1,0
DevOps Engineer,Pandas,1,0
DevOps Engineer,Power BI,1,0
DevOps Engineer,Python,4,2
DevOps Engineer,React,1,0
DevOps Engineer,SQL,1,0
DevOps Engineer,Selenium,1,0
DevOps Engineer,Statistics,1,0
DevOps Engineer,TensorFlow,1,0
DevOps Engineer,Testing,1,0
DevOps Engineer,UI/UX,1,0
UI/UX Designer,AWS,1,0
UI/UX Designer,Business Analysis,1,0
UI/UX Designer,C++,1,0
UI/UX Designer,CSS,4,2
UI/UX Designer,Communication,4,2
UI/UX Designer,Cybersecurity,1,0
UI/UX Designer,DSA,1,0
UI/UX Designer,Database Management,1,0
UI/UX Designer,Docker,1,0
UI/UX Designer,Excel,1,0
UI/UX Designer,Figma,5,2
UI/UX Designer,Git,1,0
UI/UX Designer,HTML,4,2
UI/UX Designer,Java,1,0
UI/UX Designer,JavaScript,4,2
UI/UX Designer,Kubernetes,1,0
UI/UX Designer,Linux,1,0
UI/UX Designer,Machine Learning,1,0
UI/UX Designer,MySQL,1,0
UI/UX Designer,Networking,1,0
UI/UX Designer,Node.js,1,0
UI/UX Designer,NumPy,1,0
UI/UX Designer,Oracle,1,0
UI/UX Designer,Pandas,1,0
UI/UX Designer,Power BI,1,0
UI/UX Designer,Python,1,0
UI/UX Designer,React,1,0
UI/UX Designer,SQL,1,0
UI/UX Designer,Selenium,1,0
UI/UX Designer,Statistics,1,0
UI/UX Designer,TensorFlow,1,0
UI/UX Designer,Testing,1,0
UI/UX Designer,UI/UX,5,2
Database Administrator,AWS,1,0
Database Administrator,Business Analysis,1,0
Database Administrator,C++,1,0
Database Administrator,CSS,1,0
Database Administrator,Communication,1,0
Database Administrator,Cybersecurity,1,0
Database Administrator,DSA,1,0
Database Administrator,Database Management,4,2
Database Administrator,Docker,1,0
Database Administrator,Excel,1,0
Database Administrator,Figma,1,0
Database Administrator,Git,1,0
Database Administrator,HTML,1,0
Database Administrator,Java,1,0
Database Administrator,JavaScript,1,0
Database Administrator,Kubernetes,1,0
Database Administrator,Linux,4,2
Database Administrator,Machine Learning,1,0
Database Administrator,MySQL,5,2
Database Administrator,Networking,1,0
Database Administrator,Node.js,1,0
Database Administrator,NumPy,1,0
Database Administrator,Oracle,4,2
Database Administrator,Pandas,1,0
Database Administrator,Power BI,1,0
Database Administrator,Python,4,2
Database Administrator,React,1,0
Database Administrator,SQL,5,2
Database Administrator,Selenium,1,0
Database Administrator,Statistics,1,0
Database Administrator,TensorFlow,1,0
Database Administrator,Testing,1,0
Database Administrator,UI/UX,1,0
QA Engineer,AWS,1,0
QA Engineer,Business Analysis,1,0
QA Engineer,C++,1,0
QA Engineer,CSS,1,0
QA Engineer,Communication,1,0
QA Engineer,Cybersecurity,1,0
QA Engineer,DSA,1,0
QA Engineer,Database Management,1,0
QA Engineer,Docker,1,0
QA Engineer,Excel,1,0
QA Engineer,Figma,1,0
QA Engineer,Git,4,2
QA Engineer,HTML,1,0
QA Engineer,Java,5,2
QA Engineer,JavaScript,1,0
QA Engineer,Kubernetes,1,0
QA Engineer,Linux,1,0
QA Engineer,Machine Learning,1,0
QA Engineer,MySQL,1,0
QA Engineer,Networking,1,0
QA Engineer,Node.js,1,0
QA Engineer,NumPy,1,0
QA Engineer,Oracle,1,0
QA Engineer,Pandas,1,0
QA Engineer,Power BI,1,0
QA Engineer,Python,4,2
QA Engineer,React,1,0
QA Engineer,SQL,4,2
QA Engineer,Selenium,5,2
QA Engineer,Statistics,1,0
QA Engineer,TensorFlow,1,0
QA Engineer,Testing,4,2
QA Engineer,UI/UX,1,0
Business Analyst,AWS,1,0
Business Analyst,Business Analysis,4,2
Business Analyst,C++,1,0
Business Analyst,CSS,1,0
Business Analyst,Communication,4,2
Business Analyst,Cybersecurity,1,0
Business Analyst,DSA,1,0
Business Analyst,Database Management,1,0
Business Analyst,Docker,1,0
Business Analyst,Excel,5,2
Business Analyst,Figma,1,0
Business Analyst,Git,1,0
Business Analyst,HTML,1,0
Business Analyst,Java,1,0
Business Analyst,JavaScript,1,0
Business Analyst,Kubernetes,1,0
Business Analyst,Linux,1,0
Business Analyst,Machine Learning,1,0
Business Analyst,MySQL,1,0
Business Analyst,Networking,1,0
Business Analyst,Node.js,1,0
Business Analyst,NumPy,1,0
Business Analyst,Oracle,1,0
Business Analyst,Pandas,1,0
Business Analyst,Power BI,4,2
Business Analyst,Python,1,0
Business Analyst,React,1,0
Business Analyst,SQL,5,2
Business Analyst,Selenium,1,0
Business Analyst,Statistics,4,2
Business Analyst,TensorFlow,1,0
Business Analyst,Testing,1,0
Business Analyst,UI/UX,1,0
